iter	MultiClass
0	1.571653079
1	1.34960491
2	1.189257096
3	1.053988517
4	0.955854588
5	0.8816977989
6	0.8078673742
7	0.7365021987
8	0.6862300075
9	0.6400983856
10	0.5884080251
11	0.5514590669
12	0.5176874909
13	0.4816932805
14	0.450150825
15	0.4262493568
16	0.3988426684
17	0.3728717531
18	0.3532957411
19	0.3326725667
20	0.3130105413
21	0.2952780938
22	0.2785831828
23	0.2633510504
24	0.2520998855
25	0.2406187187
26	0.228904458
27	0.2207055244
28	0.2125931164
29	0.2045486923
30	0.1972696323
31	0.1903993757
32	0.1843139905
33	0.1797438317
34	0.1764647335
35	0.1699371693
36	0.1624922991
37	0.158839553
38	0.1532426377
39	0.1485044478
40	0.1462329846
41	0.1405901768
42	0.1365753857
43	0.133508327
44	0.1294836663
45	0.1255739804
46	0.1225345823
47	0.1197037454
48	0.1179801578
49	0.1158778106
50	0.1140186008
51	0.1111811415
52	0.1084014669
53	0.1060175268
54	0.1038994174
55	0.1022130686
56	0.09938414547
57	0.09807834685
58	0.09636128194
59	0.09445545211
60	0.09236739262
61	0.09030135773
62	0.08933474531
63	0.08748678302
64	0.08612482441
65	0.08425019662
66	0.08243148608
67	0.08062800683
68	0.07941223819
69	0.07784218314
70	0.07731103798
71	0.07676098654
72	0.07598706788
73	0.0750958265
74	0.07425018972
75	0.07293872694
76	0.07241561112
77	0.07163073403
78	0.07044079662
79	0.06978668917
80	0.06936205252
81	0.06858339983
82	0.0679480518
83	0.06727792802
84	0.06652992554
85	0.0652613788
86	0.06466549307
87	0.0635481492
88	0.06284829709
89	0.06241687866
90	0.06192928927
91	0.06166226511
92	0.06066418864
93	0.05959301325
94	0.05858924585
95	0.05822793187
96	0.05777527909
97	0.05721724482
98	0.05653360344
99	0.05575890938
100	0.05519970194
101	0.05467304793
102	0.05419683351
103	0.05354343072
104	0.05313596241
105	0.0524861824
106	0.05200486383
107	0.05157509495
108	0.05102439377
109	0.0506464286
110	0.05007919891
111	0.0497609697
112	0.04918650043
113	0.04851143779
114	0.04775449111
115	0.0474390996
116	0.04710455723
117	0.04684494939
118	0.0466100426
119	0.04616456555
120	0.04589021666
121	0.04526806981
122	0.04505559431
123	0.04461085411
124	0.04442447387
125	0.04374267663
126	0.04332561933
127	0.0429963987
128	0.04260649697
129	0.04231207056
130	0.04209307203
131	0.04192883435
132	0.0414809899
133	0.04110538918
134	0.04085526574
135	0.04034163176
136	0.04015443827
137	0.03999844362
138	0.03955713713
139	0.03921788766
140	0.03895203914
141	0.03887391053
142	0.03823459378
143	0.03807814718
144	0.03764186665
145	0.03752559301
146	0.03718139628
147	0.03701270587
148	0.03683130761
149	0.03656241027
150	0.03636919778
151	0.03599264427
152	0.03560366453
153	0.03536910486
154	0.03517149108
155	0.03485422691
156	0.03438910289
157	0.03429464237
158	0.03403790543
159	0.03388376211
160	0.03370007443
161	0.03363838526
162	0.0334538465
163	0.03315922713
164	0.03280102108
165	0.03247372187
166	0.03213046498
167	0.03186121586
168	0.03165638413
169	0.03141207212
170	0.03131441623
171	0.03107782888
172	0.03096027104
173	0.03081968545
174	0.03071910133
175	0.03059446211
176	0.03035238129
177	0.03026052766
178	0.03016361931
179	0.03001542112
180	0.02990027972
181	0.02981751026
182	0.02970706517
183	0.02948961197
184	0.02933430791
185	0.02930133912
186	0.02925282632
187	0.02913320911
188	0.02900954331
189	0.02885816519
190	0.02859687651
191	0.02841080771
192	0.02835668736
193	0.02823198495
194	0.0281668494
195	0.0279495123
196	0.02788466027
197	0.02787645959
198	0.02786085758
199	0.02776433782
200	0.02761781391
201	0.02745587586
202	0.02736431908
203	0.02724537082
204	0.02712701527
205	0.02692921395
206	0.0266933635
207	0.02658238158
208	0.02654260376
209	0.02629451024
210	0.02608707745
211	0.02586279029
212	0.02566839081
213	0.02565128732
214	0.02551610845
215	0.02542180766
216	0.0252282105
217	0.0250896181
218	0.02506211765
219	0.02497375631
220	0.0247630673
221	0.02465001022
222	0.02457641949
223	0.02453262521
224	0.02446879192
225	0.02437151008
226	0.02430813756
227	0.02421166988
228	0.02418010083
229	0.02412047129
230	0.0241005547
231	0.02401179003
232	0.02385548172
233	0.02381781831
234	0.02371366835
235	0.02366592588
236	0.02361004037
237	0.02351297844
238	0.02337726601
239	0.02334954073
240	0.02329351125
241	0.02324120134
242	0.02323611305
243	0.0231611983
244	0.02300472619
245	0.02287450405
246	0.02284987437
247	0.02277430501
248	0.0227129399
249	0.02257727538
250	0.02251624106
251	0.02250524056
252	0.02238446534
253	0.02230688725
254	0.02225038582
255	0.02220861601
256	0.02217326874
257	0.02213491818
258	0.02213064829
259	0.02199673817
260	0.02183420878
261	0.02176140518
262	0.02167782861
263	0.02163698002
264	0.02158049908
265	0.02155528737
266	0.02142430504
267	0.02138869098
268	0.02125918934
269	0.02105031627
270	0.02099504487
271	0.02095092758
272	0.02088049416
273	0.02087717469
274	0.02074310501
275	0.02072049933
276	0.02065685212
277	0.02058927603
278	0.02052337054
279	0.02043885635
280	0.02040355253
281	0.02034687328
282	0.02028205458
283	0.02022334756
284	0.02007949981
285	0.02001805238
286	0.01994084531
287	0.01985218828
288	0.01978608815
289	0.01974467427
290	0.0196886133
291	0.01966636367
292	0.01955425784
293	0.01946267294
294	0.01939577623
295	0.01931778319
296	0.01924858232
297	0.01921357421
298	0.01917790996
299	0.01909998195
300	0.01907392783
301	0.01892728599
302	0.01889172665
303	0.01882017893
304	0.0187293585
305	0.01870845082
306	0.01869022614
307	0.01861876527
308	0.01859363484
309	0.0185053852
310	0.01847685478
311	0.0184050877
312	0.01833867299
313	0.01827192809
314	0.01821886326
315	0.01818198874
316	0.01811074148
317	0.01809065976
318	0.01806263331
319	0.01799638357
320	0.01795907373
321	0.01786827195
322	0.01784588152
323	0.01780333881
324	0.01778114002
325	0.01769160541
326	0.01767144916
327	0.01761934873
328	0.01755381013
329	0.01753798111
330	0.01746838155
331	0.01743973162
332	0.01737660246
333	0.01732929726
334	0.01731159249
335	0.01726366406
336	0.01724142102
337	0.01722087472
338	0.01715817613
339	0.01711661327
340	0.01707967362
341	0.01702268523
342	0.01698020843
343	0.01693105834
344	0.01690026337
345	0.0168833902
346	0.01684105658
347	0.01682863453
348	0.01680496717
349	0.01676302061
350	0.01674884996
351	0.01669558648
352	0.0166633679
353	0.01662088881
354	0.01656994656
355	0.01655902157
356	0.01652851375
357	0.01642796763
358	0.01638075561
359	0.01634661528
360	0.01632206271
361	0.01628127678
362	0.01623711838
363	0.01615188772
364	0.01607508798
365	0.01603975266
366	0.01597218601
367	0.01593635482
368	0.01590657318
369	0.01588110574
370	0.01585084292
371	0.0158115889
372	0.0157742184
373	0.0157263345
374	0.01569242642
375	0.01564071807
376	0.01561788492
377	0.01559942166
378	0.01555516187
379	0.01551724992
380	0.01547811344
381	0.01545146203
382	0.01543884432
383	0.01541482951
384	0.01540403362
385	0.01533931727
386	0.01531801502
387	0.01528086288
388	0.01526276147
389	0.01521667839
390	0.01517361087
391	0.01514228055
392	0.0151263936
393	0.0150731331
394	0.01502738806
395	0.01494402811
396	0.01488737754
397	0.0148760562
398	0.01481036435
399	0.0147771358
400	0.0147439809
401	0.01470778502
402	0.01467132534
403	0.01464910386
404	0.01460434334
405	0.01457989093
406	0.0145265503
407	0.01450581964
408	0.01446067343
409	0.0144109737
410	0.01438535858
411	0.01434498312
412	0.01431881835
413	0.01427786113
414	0.0142469466
415	0.01421423393
416	0.01419630304
417	0.01417207991
418	0.01415808921
419	0.01412854442
420	0.01411371043
421	0.01408414095
422	0.01402603919
423	0.01401504254
424	0.01397440338
425	0.01394902224
426	0.01392986872
427	0.01390231618
428	0.01386581344
429	0.01383168086
430	0.01382512078
431	0.01379534311
432	0.01377814365
433	0.01374337661
434	0.01371737827
435	0.01368584526
436	0.01364577139
437	0.01362248214
438	0.01359241866
439	0.01354066539
440	0.01347753967
441	0.01342682234
442	0.0134100773
443	0.01339753402
444	0.01337022411
445	0.01335243754
446	0.01331168795
447	0.01329748738
448	0.01328704277
449	0.01323646481
450	0.01321387416
451	0.01317076016
452	0.013152377
453	0.01313430221
454	0.01310638745
455	0.0130702295
456	0.01304141316
457	0.01300911809
458	0.01297276085
459	0.01295005799
460	0.01293811572
461	0.01292400603
462	0.01291195092
463	0.01290079677
464	0.01288653976
465	0.01283044423
466	0.0128206025
467	0.01279064368
468	0.01276884572
469	0.01273165281
470	0.01268886538
471	0.01266263388
472	0.0126262957
473	0.01260777878
474	0.01259818333
475	0.01257432678
476	0.01255640016
477	0.01253859699
478	0.01252719202
479	0.012500239
480	0.01248046756
481	0.01246323023
482	0.01244215703
483	0.01242482884
484	0.01240302346
485	0.01238254586
486	0.01237104836
487	0.01234707986
488	0.01232122637
489	0.01229686395
490	0.01225862938
491	0.01223381516
492	0.0122031322
493	0.01219036121
494	0.0121630945
495	0.01213881685
496	0.01210615908
497	0.01207196078
498	0.01204127841
499	0.01200647981
500	0.0119859941
501	0.01196850833
502	0.01192310292
503	0.0119061071
504	0.0118958773
505	0.01187425408
506	0.01186866619
507	0.01184691276
508	0.01181588401
509	0.01177912322
510	0.01176299432
511	0.01173186133
512	0.0117191735
513	0.01170011351
514	0.01169009891
515	0.01167323129
516	0.0116508259
517	0.01161415085
518	0.01158259783
519	0.01156759422
520	0.01153817424
521	0.01152165565
522	0.01149361914
523	0.01146549573
